sheet_name,seed,lookback,train_ratio,mae,rmse,mape,directional_accuracy,roi_proxy
dorklord2,11,7,0.7,0.02334313090829673,0.023642952657174282,91.99167911271975,0.52,0.01870485705072412
ducky,11,7,0.7,3.5394385379658906e-06,3.552041130255847e-06,424.04001320491636,0.16,-0.09199492250083192
duko,11,7,0.7,0.0005440502155909222,0.0005503917825717551,142.19375145238655,0.32,-0.040697945612977154
elgato,11,7,0.7,7.429013082946912e-05,7.619168624152648e-05,60.212922841256336,0.32,-0.03806777793973132
elon,11,7,0.7,2.2513771188050307e-06,2.3431030465615467e-06,74.1050519703295,0.4,-0.027036589052336694
eyeearn,11,7,0.7,8.731983312502096e-07,8.736196690135633e-07,492.7127327276678,0.24,-0.03131385990357588
feces,11,7,0.7,0.0010481450377119754,0.0010986875670232256,102.16369027203925,0.32,-0.08952941074748995
fefeoneth,11,7,0.7,0.0046512584538760835,0.00470868371288861,128.87589290827492,0.32,-0.056710275709499186
feistydogenft,11,7,0.7,0.00012907382316466103,0.00012971921206744733,139.8146134619323,0.24,-0.05470418376625074
fighttomaga,11,7,0.7,0.0008559506841515807,0.001026014044731986,44.11447099909834,0.48,-0.023989677776379538
firstreply,11,7,0.7,0.0005356123996593904,0.000685017412823976,30.261914970998134,0.56,0.0077247780960013656
fisttrumppump,11,7,0.7,0.3225411275033304,0.362809194743357,115.04236084942346,0.52,-0.005563154890908211
floos,11,7,0.7,0.0006301248204891193,0.0006431265857372588,118.30913586975245,0.4,0.06476799401428884
fofar,11,7,0.7,2.2941973418073693e-06,2.490984718525969e-06,46.315980707850215,0.36,-0.04332180240570658
forest,11,7,0.7,0.012665397722665337,0.012836702846426887,333.6203197305344,0.4,-0.07401591807628019
gamestop,11,7,0.7,3.120141947083909e-05,3.849813438362453e-05,12.325645438422054,0.72,0.07497386045688863
gameswift,11,7,0.7,0.03628832489140029,0.0374766744463712,65.5373534588803,0.32,-0.04847511438217677
gdog,11,7,0.7,3.150306362160126e-06,3.1600973284312025e-06,121.67878409464153,0.4,-0.0005703161312150417
gikocat,11,7,0.7,1.0154776391293554,1.2635622148453727,62.525237364399466,0.4,-0.055202724863039065
ginnanthecat,11,7,0.7,1.1953935541873634e-06,1.2061382422822996e-06,406.28527210615636,0.16,-0.12527650981432661
gme,11,7,0.7,0.0019376771231542527,0.0019809571030309763,71.10669808032549,0.36,-0.053958763296226876
groyper,11,7,0.7,0.013992179217233967,0.014324125148933768,154.21308914819718,0.28,-0.07133783658393945
guacamole,11,7,0.7,1.2599999743441642e-08,1.354252537992572e-08,57.866665582951235,0.28,0.059999999999999984
gummy,11,7,0.7,0.002772256735018833,0.0028094643856411386,85.00013241315156,0.24,-0.06316644830372824
habibisol,11,7,0.7,0.003505333916026212,0.0035198031666356564,334.2333748905286,0.44,0.05547242710116786
hami,11,7,0.7,0.0015287911123775106,0.0015549047017331253,96.11278331640554,0.28,-0.03986536601032222
hana,11,7,0.7,0.00018500293363375435,0.00018695328660042217,253.46901168509902,0.24,-0.09522132430564106
harrypottertrumphomersimpson777inu,11,7,0.7,0.00038307148756385937,0.0004011020643002325,81.66360327338285,0.44,-0.026417910553790006
hawk2,11,7,0.7,0.00023930817201865397,0.00027407934261616373,78.81797665916628,0.44,-0.3647618627430396
hege,11,7,0.7,0.00928400006571187,0.010725828309401358,55.662916003031334,0.28,-0.06962834054294265
hehecat,11,7,0.7,0.008435400478520302,0.008733248151727152,133.7079139592629,0.28,-0.061698261007244855
hemule,11,7,0.7,0.0035406004242253763,0.003558068487675533,130.39646376465268,0.36,-0.03901775941412213
historyofpepe,11,7,0.7,0.0006478951176864035,0.0006734801901835223,80.15856247194375,0.28,-0.05526175233797516
honk,11,7,0.7,0.0009174061709428536,0.0009327348679945808,65.20894454993763,0.4,-0.01148039882998257
hund,11,7,0.7,0.0044917108894389005,0.004859519512590843,58.89217620912407,0.28,-0.0507448829801707
iiiilovvvyouuuu,11,7,0.7,0.0020548618360876213,0.002097936878361392,121.33368632346391,0.4,-0.01657930332877316
illuminaticoin,11,7,0.7,1.4400001162476608e-07,1.5183992943999605e-07,15.991143041861477,0.4,-0.008670441999689936
inferno2,11,7,0.7,1.7223997110399358e-06,1.8556484161663623e-06,276.55451926065996,0.64,1.9367784486575166
iq50,11,7,0.7,1.484190496133417e-06,1.516206437148103e-06,48.732908370181704,0.32,-0.003361752201130659
